Date : 2025-12-08 00:58:06
Directory : /Users/vajrap/workspace/MyProject
Total : 1241 files,  607665 codes, 60503 comments, 21300 blanks, all 689468 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| Server/src/Entity/Trait (Files)                                                                                                                                    |          3 |         39 |          0 |          4 |         43 |
| Server/src/Entity/Trait/definition                                                                                                                                 |          3 |         71 |          0 |          6 |         77 |
| Server/src/Entity/User                                                                                                                                             |          1 |         29 |          3 |          7 |         39 |
| Server/src/Event                                                                                                                                                   |         19 |      2,074 |         62 |        292 |      2,428 |
| Server/src/Event (Files)                                                                                                                                           |          4 |         31 |          0 |         12 |         43 |
| Server/src/Event/Craft                                                                                                                                             |         15 |      2,043 |         62 |        280 |      2,385 |
| Server/src/Game                                                                                                                                                    |         17 |      1,364 |         68 |        232 |      1,664 |
| Server/src/Game (Files)                                                                                                                                            |          3 |        375 |         44 |         82 |        501 |
| Server/src/Game/CharacterManager                                                                                                                                   |          1 |         20 |          0 |          5 |         25 |
| Server/src/Game/GameTime                                                                                                                                           |          4 |        278 |          6 |         35 |        319 |
| Server/src/Game/PartyManager                                                                                                                                       |          1 |         19 |          0 |          5 |         24 |
| Server/src/Game/TravelManager                                                                                                                                      |          8 |        672 |         18 |        105 |        795 |
| Server/src/Game/TravelManager (Files)                                                                                                                              |          3 |        452 |         18 |         68 |        538 |
| Server/src/Game/TravelManager/Rail                                                                                                                                 |          5 |        220 |          0 |         37 |        257 |
| Server/src/Game/TravelManager/Rail (Files)                                                                                                                         |          3 |        175 |          0 |         32 |        207 |
| Server/src/Game/TravelManager/Rail/definition                                                                                                                      |          2 |         45 |          0 |          5 |         50 |
| Server/src/InterFacesEnumsAndTypes                                                                                                                                 |         21 |      1,125 |        428 |        158 |      1,711 |
| Server/src/InterFacesEnumsAndTypes (Files)                                                                                                                         |         15 |      1,051 |        210 |        126 |      1,387 |
| Server/src/InterFacesEnumsAndTypes/Enums                                                                                                                           |          5 |         37 |        202 |         15 |        254 |
| Server/src/InterFacesEnumsAndTypes/Interfaces                                                                                                                      |          1 |         37 |         16 |         17 |         70 |
| Server/src/MiddleWare                                                                                                                                              |          2 |         28 |          0 |          3 |         31 |
| Server/src/Services                                                                                                                                                |          3 |        423 |         85 |         76 |        584 |
| Server/src/Utils                                                                                                                                                   |         21 |        752 |         62 |        123 |        937 |
| Server/src/config                                                                                                                                                  |          1 |         41 |          0 |         14 |         55 |
| Server/src/playground                                                                                                                                              |          7 |      2,107 |        215 |        196 |      2,518 |
| Server/src/playground/api                                                                                                                                          |          1 |        168 |         37 |         29 |        234 |
| Server/src/playground/presets                                                                                                                                      |          1 |         96 |          3 |          3 |        102 |
| Server/src/playground/services                                                                                                                                     |          3 |      1,622 |        145 |        142 |      1,909 |
| Server/src/playground/types                                                                                                                                        |          2 |        221 |         30 |         22 |        273 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                           | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/vajrap/workspace/MyProject/.idea/MyProject.iml                                                                                                              | XML                |         12 |          0 |          0 |         12 |
| /Users/vajrap/workspace/MyProject/.idea/dictionaries/project.xml                                                                                                   | XML                |          3 |          0 |          0 |          3 |
| /Users/vajrap/workspace/MyProject/.idea/inspectionProfiles/Project_Default.xml                                                                                     | XML                |          6 |          0 |          0 |          6 |
| /Users/vajrap/workspace/MyProject/.idea/modules.xml                                                                                                                | XML                |          8 |          0 |          0 |          8 |
| /Users/vajrap/workspace/MyProject/.idea/vcs.xml                                                                                                                    | XML                |          6 |          0 |          0 |          6 |
| /Users/vajrap/workspace/MyProject/Client/L10N/buffDebuffEnums.ts                                                                                                   | TypeScript         |         51 |          4 |          7 |         62 |
| /Users/vajrap/workspace/MyProject/Client/L10N/buffsAndDebuffs.ts                                                                                                   | TypeScript         |        223 |          2 |          5 |        230 |
| /Users/vajrap/workspace/MyProject/Client/L10N/skillEnums.ts                                                                                                        | TypeScript         |        153 |        264 |         71 |        488 |
| /Users/vajrap/workspace/MyProject/Client/L10N/skills.ts                                                                                                            | TypeScript         |        428 |          2 |          4 |        434 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/.eslintrc.cjs                                                                                            | JavaScript         |         19 |          0 |          2 |         21 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/README.md                                                                                                | Markdown           |         48 |          0 |         15 |         63 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/dist/assets/index-zWSswt4V.js                                                                            | JavaScript         |        247 |         43 |         38 |        328 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/dist/index.html                                                                                          | HTML               |         13 |          0 |          2 |         15 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/dist/vite.svg                                                                                            | XML                |          1 |          0 |          1 |          2 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/index.html                                                                                               | HTML               |         13 |          0 |          2 |         15 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/package-lock.json                                                                                        | JSON               |      4,120 |          0 |          1 |      4,121 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/package.json                                                                                             | JSON               |         34 |          0 |          2 |         36 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/public/vite.svg                                                                                          | XML                |          1 |          0 |          1 |          2 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/src/App.tsx                                                                                              | TypeScript JSX     |        193 |          1 |         25 |        219 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/BattleResults/AIAnalysisPanel.tsx                                                         | TypeScript JSX     |        192 |          4 |         26 |        222 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/BattleResults/BattleResultsView.tsx                                                       | TypeScript JSX     |        214 |          1 |         15 |        230 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/BattleResults/PartySummary.tsx                                                            | TypeScript JSX     |         42 |          0 |          4 |         46 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/BattleResults/StatisticsPanel.tsx                                                         | TypeScript JSX     |        708 |         20 |         41 |        769 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/BattleResults/TurnDetail.tsx                                                              | TypeScript JSX     |         77 |          0 |          8 |         85 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/PartyConfig/CharacterSlot.tsx                                                             | TypeScript JSX     |        199 |          1 |         16 |        216 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/PartyConfig/PartyConfigPanel.tsx                                                          | TypeScript JSX     |        259 |          1 |         25 |        285 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/src/components/PresetManager/PresetSelector.tsx                                                          | TypeScript JSX     |        172 |          0 |         12 |        184 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/src/constants/aiSystemPrompt.ts                                                                          | TypeScript         |         97 |          0 |         19 |        116 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/src/main.tsx                                                                                             | TypeScript JSX     |         24 |          0 |          4 |         28 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/src/services/api.ts                                                                                      | TypeScript         |        157 |         14 |         17 |        188 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/src/services/types.ts                                                                                    | TypeScript         |        255 |          7 |         24 |        286 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/src/utils/nameGenerator.ts                                                                               | TypeScript         |         41 |         17 |         13 |         71 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/src/vite-env.d.ts                                                                                        | TypeScript         |          0 |          1 |          2 |          3 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/tsconfig.json                                                                                            | JSON with Comments |         25 |          3 |          5 |         33 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/tsconfig.node.json                                                                                       | JSON               |         10 |          0 |          2 |         12 |
| /Users/vajrap/workspace/MyProject/Client/battle-simulator/vite.config.ts                                                                                           | TypeScript         |         25 |          0 |          3 |         28 |
| /Users/vajrap/workspace/MyProject/Client/text-visualizer/README.md                                                                                                 | Markdown           |         51 |          0 |         22 |         73 |
| /Users/vajrap/workspace/MyProject/Client/text-visualizer/bun.lock                                                                                                  | JSON with Comments |        107 |          0 |         87 |        194 |
| /Users/vajrap/workspace/MyProject/Client/text-visualizer/package.json                                                                                              | JSON               |         20 |          0 |          1 |         21 |
| /Users/vajrap/workspace/MyProject/Client/text-visualizer/public/app.js                                                                                             | JavaScript         |      1,853 |          3 |          3 |      1,859 |
| /Users/vajrap/workspace/MyProject/Client/text-visualizer/public/app.ts                                                                                             | TypeScript         |        230 |         20 |         30 |        280 |
| /Users/vajrap/workspace/MyProject/Client/text-visualizer/public/index.html                                                                                         | HTML               |         37 |          0 |          6 |         43 |
| /Users/vajrap/workspace/MyProject/Client/text-visualizer/public/style.css                                                                                          | CSS                |        284 |          6 |         46 |        336 |
| /Users/vajrap/workspace/MyProject/Client/text-visualizer/public/textParser.js                                                                                      | JavaScript         |        228 |          1 |          1 |        230 |
| /Users/vajrap/workspace/MyProject/Client/text-visualizer/public/textParser.ts                                                                                      | TypeScript         |        276 |         77 |         49 |        402 |
| /Users/vajrap/workspace/MyProject/Client/text-visualizer/public/tooltip.js                                                                                         | JavaScript         |      1,405 |         55 |         52 |      1,512 |
| /Users/vajrap/workspace/MyProject/Client/text-visualizer/public/tooltip.ts                                                                                         | TypeScript         |         82 |         11 |         19 |        112 |
| /Users/vajrap/workspace/MyProject/Client/text-visualizer/server.ts                                                                                                 | TypeScript         |        136 |         15 |         22 |        173 |
| /Users/vajrap/workspace/MyProject/Client/text-visualizer/tsconfig.json                                                                                             | JSON with Comments |         15 |          0 |          2 |         17 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.env                                                                                                               | Properties         |         22 |         10 |         10 |         42 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/build-manifest.json                                                                                      | JSON               |         50 |          0 |          0 |         50 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/cache/next-devtools-config.json                                                                          | JSON               |          1 |          0 |          0 |          1 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/fallback-build-manifest.json                                                                             | JSON               |         37 |          0 |          0 |         37 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/logs/next-development.log                                                                                | Log                |      2,003 |          0 |         91 |      2,094 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/package.json                                                                                             | JSON               |          3 |          0 |          0 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/prerender-manifest.json                                                                                  | JSON               |         11 |          0 |          0 |         11 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/routes-manifest.json                                                                                     | JSON               |          1 |          0 |          0 |          1 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app-paths-manifest.json                                                                           | JSON               |          9 |          0 |          0 |          9 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/_not-found/page.js                                                                            | JavaScript         |         11 |          0 |          1 |         12 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/_not-found/page/app-paths-manifest.json                                                       | JSON               |          3 |          0 |          0 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/_not-found/page/build-manifest.json                                                           | JSON               |         22 |          0 |          0 |         22 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/_not-found/page/next-font-manifest.json                                                       | JSON               |          6 |          0 |          0 |          6 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/_not-found/page/react-loadable-manifest.json                                                  | JSON               |          1 |          0 |          0 |          1 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/_not-found/page/server-reference-manifest.json                                                | JSON               |          4 |          0 |          0 |          4 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/_not-found/page_client-reference-manifest.js                                                  | JavaScript         |          2 |          0 |          1 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-login/route.js                                                                       | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-login/route/app-paths-manifest.json                                                  | JSON               |          3 |          0 |          0 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-login/route/build-manifest.json                                                      | JSON               |         11 |          0 |          0 |         11 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-login/route/server-reference-manifest.json                                           | JSON               |          4 |          0 |          0 |          4 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-login/route_client-reference-manifest.js                                             | JavaScript         |          2 |          0 |          1 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-register/route.js                                                                    | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-register/route/app-paths-manifest.json                                               | JSON               |          3 |          0 |          0 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-register/route/build-manifest.json                                                   | JSON               |         11 |          0 |          0 |         11 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-register/route/server-reference-manifest.json                                        | JSON               |          4 |          0 |          0 |          4 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/api/test-register/route_client-reference-manifest.js                                          | JavaScript         |          2 |          0 |          1 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/character-creation/page.js                                                                    | JavaScript         |         13 |          0 |          1 |         14 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/character-creation/page/app-paths-manifest.json                                               | JSON               |          3 |          0 |          0 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/character-creation/page/build-manifest.json                                                   | JSON               |         22 |          0 |          0 |         22 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/character-creation/page/next-font-manifest.json                                               | JSON               |          6 |          0 |          0 |          6 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/character-creation/page/react-loadable-manifest.json                                          | JSON               |          1 |          0 |          0 |          1 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/character-creation/page/server-reference-manifest.json                                        | JSON               |          4 |          0 |          0 |          4 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/character-creation/page_client-reference-manifest.js                                          | JavaScript         |          2 |          0 |          1 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/mock/page.js                                                                             | JavaScript         |         13 |          0 |          1 |         14 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/mock/page/app-paths-manifest.json                                                        | JSON               |          3 |          0 |          0 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/mock/page/build-manifest.json                                                            | JSON               |         22 |          0 |          0 |         22 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/mock/page/next-font-manifest.json                                                        | JSON               |          6 |          0 |          0 |          6 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/mock/page/react-loadable-manifest.json                                                   | JSON               |          1 |          0 |          0 |          1 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/mock/page/server-reference-manifest.json                                                 | JSON               |          4 |          0 |          0 |          4 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/mock/page_client-reference-manifest.js                                                   | JavaScript         |          2 |          0 |          1 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/page.js                                                                                  | JavaScript         |         13 |          0 |          1 |         14 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/page/app-paths-manifest.json                                                             | JSON               |          3 |          0 |          0 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/page/build-manifest.json                                                                 | JSON               |         22 |          0 |          0 |         22 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/page/next-font-manifest.json                                                             | JSON               |          6 |          0 |          0 |          6 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/page/react-loadable-manifest.json                                                        | JSON               |          1 |          0 |          0 |          1 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/page/server-reference-manifest.json                                                      | JSON               |          4 |          0 |          0 |          4 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/game/page_client-reference-manifest.js                                                        | JavaScript         |          2 |          0 |          1 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/login/page.js                                                                                 | JavaScript         |         13 |          0 |          1 |         14 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/login/page/app-paths-manifest.json                                                            | JSON               |          3 |          0 |          0 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/login/page/build-manifest.json                                                                | JSON               |         22 |          0 |          0 |         22 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/login/page/next-font-manifest.json                                                            | JSON               |          6 |          0 |          0 |          6 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/login/page/react-loadable-manifest.json                                                       | JSON               |          1 |          0 |          0 |          1 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/login/page/server-reference-manifest.json                                                     | JSON               |          4 |          0 |          0 |          4 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/login/page_client-reference-manifest.js                                                       | JavaScript         |          2 |          0 |          1 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/page.js                                                                                       | JavaScript         |         13 |          0 |          1 |         14 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/page/app-paths-manifest.json                                                                  | JSON               |          3 |          0 |          0 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/page/build-manifest.json                                                                      | JSON               |         22 |          0 |          0 |         22 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/page/next-font-manifest.json                                                                  | JSON               |          6 |          0 |          0 |          6 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/page/react-loadable-manifest.json                                                             | JSON               |          1 |          0 |          0 |          1 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/page/server-reference-manifest.json                                                           | JSON               |          4 |          0 |          0 |          4 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/page_client-reference-manifest.js                                                             | JavaScript         |          2 |          0 |          1 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/register/page.js                                                                              | JavaScript         |         13 |          0 |          1 |         14 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/register/page/app-paths-manifest.json                                                         | JSON               |          3 |          0 |          0 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/register/page/build-manifest.json                                                             | JSON               |         22 |          0 |          0 |         22 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/register/page/next-font-manifest.json                                                         | JSON               |          6 |          0 |          0 |          6 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/register/page/react-loadable-manifest.json                                                    | JSON               |          1 |          0 |          0 |          1 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/register/page/server-reference-manifest.json                                                  | JSON               |          4 |          0 |          0 |          4 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/app/register/page_client-reference-manifest.js                                                    | JavaScript         |          2 |          0 |          1 |          3 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/27ff1_webapp__next-internal_server_app_api_test-register_route_actions_bc5bcc5a.js         | JavaScript         |          6 |          1 |          2 |          9 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/[root-of-the-server]__16c73eb2._.js                                                        | JavaScript         |         67 |          1 |         16 |         84 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/[root-of-the-server]__1da31330._.js                                                        | JavaScript         |         69 |          2 |         16 |         87 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/[turbopack]_runtime.js                                                                     | JavaScript         |        640 |        128 |          2 |        770 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/bb998_Client_webapp__next-internal_server_app_api_test-login_route_actions_146aef92.js     | JavaScript         |          6 |          1 |          2 |          9 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/eb252_next_42edce38._.js                                                                   | JavaScript         |     13,013 |      1,349 |        120 |     14,482 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/eb252_next_de5a194e._.js                                                                   | JavaScript         |     13,013 |      1,349 |        120 |     14,482 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/27ff1_webapp__next-internal_server_app_character-creation_page_actions_7791bbcd.js     | JavaScript         |          6 |          1 |          2 |          9 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/953a0_MyProject_Client_webapp__next-internal_server_app_game_page_actions_20ce69c3.js  | JavaScript         |          6 |          1 |          2 |          9 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/953a0_MyProject_Client_webapp__next-internal_server_app_login_page_actions_d554a84b.js | JavaScript         |          6 |          1 |          2 |          9 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/953a0_MyProject_Client_webapp__next-internal_server_app_page_actions_ee9e7028.js       | JavaScript         |          6 |          1 |          2 |          9 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[externals]_next_dist_shared_lib_no-fallback-error_external_59b92b38.js                | JavaScript         |          6 |          0 |          2 |          8 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__025e2423._.js                                                    | JavaScript         |      4,383 |        258 |         16 |      4,657 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__09803343._.js                                                    | JavaScript         |      1,753 |         72 |         15 |      1,840 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__177d7beb._.js                                                    | JavaScript         |      1,484 |         17 |         15 |      1,516 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__1aaf5479._.js                                                    | JavaScript         |         26 |          0 |         12 |         38 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__1f15768e._.js                                                    | JavaScript         |      2,770 |        193 |         18 |      2,981 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__22018ef3._.js                                                    | JavaScript         |      1,518 |         28 |         11 |      1,557 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__22b909eb._.js                                                    | JavaScript         |         25 |          1 |          6 |         32 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__2522e286._.js                                                    | JavaScript         |      3,078 |         61 |         13 |      3,152 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__2ef1c820._.js                                                    | JavaScript         |      3,333 |         24 |         17 |      3,374 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__398ec6c0._.js                                                    | JavaScript         |      3,191 |         56 |         14 |      3,261 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__4ab17b39._.js                                                    | JavaScript         |      3,431 |         36 |         50 |      3,517 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__54912db8._.js                                                    | JavaScript         |      2,887 |         56 |         12 |      2,955 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__5e71e210._.js                                                    | JavaScript         |         61 |          3 |          9 |         73 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__63d3a075._.js                                                    | JavaScript         |      1,385 |         63 |         14 |      1,462 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__65edb100._.js                                                    | JavaScript         |         43 |          3 |          8 |         54 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__6b449750._.js                                                    | JavaScript         |        267 |          9 |          9 |        285 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__79d00464._.js                                                    | JavaScript         |          9 |          0 |          3 |         12 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__7f148858._.js                                                    | JavaScript         |         42 |          0 |         20 |         62 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__94d99312._.js                                                    | JavaScript         |         61 |          3 |          9 |         73 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__a4ab7fa0._.js                                                    | JavaScript         |      2,565 |         35 |         17 |      2,617 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__cb8b2f1c._.js                                                    | JavaScript         |      3,411 |         36 |         40 |      3,487 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__cd9b7670._.js                                                    | JavaScript         |      3,078 |         61 |         14 |      3,153 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__ce7fd09e._.js                                                    | JavaScript         |      4,315 |        264 |         15 |      4,594 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__e0d7b8ff._.js                                                    | JavaScript         |         61 |          3 |          9 |         73 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__e37f92b1._.js                                                    | JavaScript         |         61 |          3 |          9 |         73 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__e6a4d965._.js                                                    | JavaScript         |         22 |          0 |         10 |         32 |
| /Users/vajrap/workspace/MyProject/Client/webapp/.next/dev/server/chunks/ssr/[root-of-the-server]__e7337784._.js                                                    | JavaScript         |      4,619 |        200 |         20 |      4,839 |
